"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","556","Login with correct email and password","LMS service","Thu Feb 26 22:18:18 UTC 2026","passed","Thu Feb 26 22:18:18 UTC 2026","Login","Authentication","",""
"","12","Get file","LMS service","Thu Feb 26 22:18:24 UTC 2026","passed","Thu Feb 26 22:18:24 UTC 2026","Get entity","Files","",""
"","262","Create file with empty directory","LMS service","Thu Feb 26 22:18:25 UTC 2026","passed","Thu Feb 26 22:18:25 UTC 2026","Validate entity","Files","",""
"","292","Get exercise","LMS service","Thu Feb 26 22:18:21 UTC 2026","passed","Thu Feb 26 22:18:22 UTC 2026","Get entity","Exercises","",""
"","14","Get user me","LMS service","Thu Feb 26 22:18:27 UTC 2026","passed","Thu Feb 26 22:18:27 UTC 2026","Get entity","Users","",""
"","20","Delete file","LMS service","Thu Feb 26 22:18:26 UTC 2026","passed","Thu Feb 26 22:18:26 UTC 2026","Delete entity","Files","",""
"","290","Create user","LMS service","Thu Feb 26 22:18:26 UTC 2026","passed","Thu Feb 26 22:18:27 UTC 2026","Create entity","Users","",""
"","547","Create user","LMS service","Thu Feb 26 22:18:26 UTC 2026","passed","Thu Feb 26 22:18:26 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Thu Feb 26 22:18:23 UTC 2026","passed","Thu Feb 26 22:18:23 UTC 2026","Get entities","Exercises","",""
"","19","Update exercise","LMS service","Thu Feb 26 22:18:21 UTC 2026","passed","Thu Feb 26 22:18:21 UTC 2026","Update entity","Exercises","",""
"","272","Create file with empty filename","LMS service","Thu Feb 26 22:18:24 UTC 2026","passed","Thu Feb 26 22:18:25 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Thu Feb 26 22:18:20 UTC 2026","passed","Thu Feb 26 22:18:20 UTC 2026","Create entity","Exercises","",""
"","30","Get courses","LMS service","Thu Feb 26 22:18:19 UTC 2026","passed","Thu Feb 26 22:18:19 UTC 2026","Get entities","Courses","",""
"","30","Create course","LMS service","Thu Feb 26 22:18:20 UTC 2026","passed","Thu Feb 26 22:18:20 UTC 2026","Create entity","Courses","",""
"","303","Update course","LMS service","Thu Feb 26 22:18:18 UTC 2026","passed","Thu Feb 26 22:18:19 UTC 2026","Update entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Thu Feb 26 22:18:26 UTC 2026","passed","Thu Feb 26 22:18:26 UTC 2026","Validate entity","Files","",""
"","290","Delete exercise","LMS service","Thu Feb 26 22:18:22 UTC 2026","passed","Thu Feb 26 22:18:22 UTC 2026","Delete entity","Exercises","",""
"","261","Create file","LMS service","Thu Feb 26 22:18:23 UTC 2026","passed","Thu Feb 26 22:18:23 UTC 2026","Create entity","Files","",""
"","557","Create user","LMS service","Thu Feb 26 22:18:26 UTC 2026","passed","Thu Feb 26 22:18:27 UTC 2026","Create entity","Users","",""
