"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Create file with empty filename","LMS service","Sat Feb 21 07:38:41 UTC 2026","passed","Sat Feb 21 07:38:42 UTC 2026","Validate entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Sat Feb 21 07:38:43 UTC 2026","passed","Sat Feb 21 07:38:43 UTC 2026","Validate entity","Files","",""
"","21","Create exercise","LMS service","Sat Feb 21 07:38:37 UTC 2026","passed","Sat Feb 21 07:38:37 UTC 2026","Create entity","Exercises","",""
"","557","Create user","LMS service","Sat Feb 21 07:38:43 UTC 2026","passed","Sat Feb 21 07:38:44 UTC 2026","Create entity","Users","",""
"","264","Create file","LMS service","Sat Feb 21 07:38:40 UTC 2026","passed","Sat Feb 21 07:38:40 UTC 2026","Create entity","Files","",""
"","542","Create user","LMS service","Sat Feb 21 07:38:43 UTC 2026","passed","Sat Feb 21 07:38:43 UTC 2026","Create entity","Users","",""
"","267","Create file with empty directory","LMS service","Sat Feb 21 07:38:42 UTC 2026","passed","Sat Feb 21 07:38:42 UTC 2026","Validate entity","Files","",""
"","15","Get exercises","LMS service","Sat Feb 21 07:38:40 UTC 2026","passed","Sat Feb 21 07:38:40 UTC 2026","Get entities","Exercises","",""
"","13","Get file","LMS service","Sat Feb 21 07:38:41 UTC 2026","passed","Sat Feb 21 07:38:41 UTC 2026","Get entity","Files","",""
"","13","Get user me","LMS service","Sat Feb 21 07:38:45 UTC 2026","passed","Sat Feb 21 07:38:45 UTC 2026","Get entity","Users","",""
"","287","Update exercise","LMS service","Sat Feb 21 07:38:38 UTC 2026","passed","Sat Feb 21 07:38:38 UTC 2026","Update entity","Exercises","",""
"","557","Create user","LMS service","Sat Feb 21 07:38:43 UTC 2026","passed","Sat Feb 21 07:38:44 UTC 2026","Create entity","Users","",""
"","29","Get courses","LMS service","Sat Feb 21 07:38:36 UTC 2026","passed","Sat Feb 21 07:38:36 UTC 2026","Get entities","Courses","",""
"","547","Login with correct email and password","LMS service","Sat Feb 21 07:38:35 UTC 2026","passed","Sat Feb 21 07:38:35 UTC 2026","Login","Authentication","",""
"","29","Create course","LMS service","Sat Feb 21 07:38:37 UTC 2026","passed","Sat Feb 21 07:38:37 UTC 2026","Create entity","Courses","",""
"","291","Delete exercise","LMS service","Sat Feb 21 07:38:39 UTC 2026","passed","Sat Feb 21 07:38:40 UTC 2026","Delete entity","Exercises","",""
"","18","Get exercise","LMS service","Sat Feb 21 07:38:39 UTC 2026","passed","Sat Feb 21 07:38:39 UTC 2026","Get entity","Exercises","",""
"","301","Update course","LMS service","Sat Feb 21 07:38:35 UTC 2026","passed","Sat Feb 21 07:38:36 UTC 2026","Update entity","Courses","",""
"","19","Delete file","LMS service","Sat Feb 21 07:38:43 UTC 2026","passed","Sat Feb 21 07:38:43 UTC 2026","Delete entity","Files","",""
