"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Update exercise","LMS service","Tue Feb 24 22:10:01 UTC 2026","passed","Tue Feb 24 22:10:01 UTC 2026","Update entity","Exercises","",""
"","28","Create course","LMS service","Tue Feb 24 22:09:59 UTC 2026","passed","Tue Feb 24 22:09:59 UTC 2026","Create entity","Courses","",""
"","288","Create user","LMS service","Tue Feb 24 22:10:06 UTC 2026","passed","Tue Feb 24 22:10:06 UTC 2026","Create entity","Users","",""
"","259","Create file with empty directory","LMS service","Tue Feb 24 22:10:04 UTC 2026","passed","Tue Feb 24 22:10:05 UTC 2026","Validate entity","Files","",""
"","260","Get file with incorrect file id","LMS service","Tue Feb 24 22:10:06 UTC 2026","passed","Tue Feb 24 22:10:06 UTC 2026","Validate entity","Files","",""
"","299","Get courses","LMS service","Tue Feb 24 22:09:59 UTC 2026","passed","Tue Feb 24 22:09:59 UTC 2026","Get entities","Courses","",""
"","547","Create user","LMS service","Tue Feb 24 22:10:05 UTC 2026","passed","Tue Feb 24 22:10:06 UTC 2026","Create entity","Users","",""
"","13","Get file","LMS service","Tue Feb 24 22:10:04 UTC 2026","passed","Tue Feb 24 22:10:04 UTC 2026","Get entity","Files","",""
"","288","Delete exercise","LMS service","Tue Feb 24 22:10:02 UTC 2026","passed","Tue Feb 24 22:10:02 UTC 2026","Delete entity","Exercises","",""
"","23","Get exercise","LMS service","Tue Feb 24 22:10:01 UTC 2026","passed","Tue Feb 24 22:10:01 UTC 2026","Get entity","Exercises","",""
"","20","Delete file","LMS service","Tue Feb 24 22:10:05 UTC 2026","passed","Tue Feb 24 22:10:05 UTC 2026","Delete entity","Files","",""
"","16","Get exercises","LMS service","Tue Feb 24 22:10:02 UTC 2026","passed","Tue Feb 24 22:10:02 UTC 2026","Get entities","Exercises","",""
"","308","Update course","LMS service","Tue Feb 24 22:09:58 UTC 2026","passed","Tue Feb 24 22:09:58 UTC 2026","Update entity","Courses","",""
"","20","Create exercise","LMS service","Tue Feb 24 22:10:00 UTC 2026","passed","Tue Feb 24 22:10:00 UTC 2026","Create entity","Exercises","",""
"","11","Get user me","LMS service","Tue Feb 24 22:10:07 UTC 2026","passed","Tue Feb 24 22:10:07 UTC 2026","Get entity","Users","",""
"","260","Create file with empty filename","LMS service","Tue Feb 24 22:10:04 UTC 2026","passed","Tue Feb 24 22:10:04 UTC 2026","Validate entity","Files","",""
"","287","Login with correct email and password","LMS service","Tue Feb 24 22:09:57 UTC 2026","passed","Tue Feb 24 22:09:58 UTC 2026","Login","Authentication","",""
"","556","Create user","LMS service","Tue Feb 24 22:10:06 UTC 2026","passed","Tue Feb 24 22:10:06 UTC 2026","Create entity","Users","",""
"","268","Create file","LMS service","Tue Feb 24 22:10:03 UTC 2026","passed","Tue Feb 24 22:10:03 UTC 2026","Create entity","Files","",""
